feature,importance,operation
max_dim_118,0.0019935941543931606,max
hadamard_dim_98,0.0019902920441229413,hadamard
average_dim_91,0.0019879161794616835,average
average_dim_113,0.001977093646412023,average
average_dim_72,0.0019720271385395634,average
max_dim_3,0.001957211512105371,max
average_dim_15,0.0019523149770270432,average
average_dim_11,0.001951151281579469,average
average_dim_90,0.0019437278190328078,average
max_dim_57,0.0019410649186438372,max
hadamard_dim_29,0.001938439804857841,hadamard
average_dim_61,0.0019336789371231858,average
average_dim_21,0.0019323749042454814,average
average_dim_86,0.0019256875184712587,average
max_dim_46,0.0019174632661295976,max
average_dim_41,0.0019163758730945805,average
hadamard_dim_101,0.0019075782569546063,hadamard
hadamard_dim_120,0.001904711991629022,hadamard
hadamard_dim_26,0.0019010240490385125,hadamard
average_dim_65,0.0018918443725544764,average
hadamard_dim_92,0.0018909622607390414,hadamard
hadamard_dim_25,0.0018871750863909023,hadamard
hadamard_dim_61,0.0018826537829726073,hadamard
average_dim_87,0.0018781530802407735,average
average_dim_105,0.0018696536383176101,average
average_dim_56,0.001869459866355297,average
max_dim_21,0.0018634847308869457,max
hadamard_dim_125,0.0018614828022430752,hadamard
hadamard_dim_103,0.0018584745638081694,hadamard
average_dim_48,0.0018568373704669397,average
l1_distance_dim_78,0.001856773404628522,l1_distance
hadamard_dim_115,0.001848618694989666,hadamard
hadamard_dim_99,0.0018440628596023063,hadamard
max_dim_96,0.0018425623618807353,max
average_dim_71,0.0018400823384758312,average
max_dim_5,0.001839798695676487,max
l1_distance_dim_56,0.0018395221020119637,l1_distance
hadamard_dim_124,0.0018304752132180888,hadamard
hadamard_dim_5,0.0018292571650303788,hadamard
l1_distance_dim_116,0.0018269572197756538,l1_distance
average_dim_98,0.0018255931146816554,average
average_dim_47,0.0018162700019119479,average
l1_distance_dim_17,0.001805971872069881,l1_distance
average_dim_92,0.0018055862774488452,average
average_dim_94,0.001794303004882512,average
average_dim_80,0.0017936053945594758,average
average_dim_52,0.0017932016542446605,average
average_dim_121,0.0017920125012654874,average
hadamard_dim_48,0.0017913824847601346,hadamard
average_dim_16,0.0017899260913853347,average
l1_distance_dim_119,0.0017885043255342846,l1_distance
average_dim_58,0.001785764106232708,average
max_dim_61,0.001785708882661016,max
max_dim_93,0.0017770381444245575,max
average_dim_1,0.0017746717045507814,average
average_dim_63,0.0017737657298024703,average
hadamard_dim_32,0.0017734408327182527,hadamard
max_dim_71,0.0017724853250136341,max
average_dim_23,0.0017695262991324107,average
average_dim_60,0.0017691306389097043,average
average_dim_24,0.0017660225899584017,average
average_dim_76,0.0017641757203556714,average
hadamard_dim_63,0.0017632478748447103,hadamard
hadamard_dim_10,0.0017600202196657794,hadamard
average_dim_3,0.0017573714284870572,average
hadamard_dim_80,0.0017550335605114942,hadamard
max_dim_77,0.0017537113247203617,max
average_dim_43,0.0017526550013200707,average
average_dim_59,0.0017526400231208162,average
average_dim_6,0.0017482055822913777,average
average_dim_27,0.0017475960698442325,average
average_dim_9,0.0017450041192320523,average
max_dim_16,0.001743913472872287,max
max_dim_123,0.001742632023293262,max
average_dim_85,0.001741136168616061,average
average_dim_32,0.0017395733402444105,average
hadamard_dim_100,0.0017394914772738796,hadamard
average_dim_69,0.001738162188762864,average
average_dim_4,0.0017357961574914918,average
average_dim_2,0.001735402653220072,average
average_dim_83,0.0017290365537425108,average
average_dim_40,0.001727620806908117,average
average_dim_18,0.001726784341080673,average
max_dim_23,0.0017256709713946098,max
max_dim_55,0.0017227101009777452,max
average_dim_120,0.0017118479061102388,average
average_dim_31,0.0017080654051496804,average
average_dim_28,0.001701735954315142,average
average_dim_82,0.0017010696718598476,average
max_dim_81,0.0016989436826262486,max
max_dim_104,0.0016979195606788835,max
average_dim_5,0.001697289467792681,average
hadamard_dim_67,0.0016947480249299637,hadamard
